dessert_category,region,query,name,road_address,jibun_address,telephone,external_link,category_text,mapx,mapy,longitude,latitude,geocode_error
saltbread,daegu,대구 동구 소금빵,커들포드,대구광역시 동구 팔공로 1334 커들포드,대구광역시 동구 진인동 394-2 커들포드,,https://www.instagram.com/cuddlepod_official,"음식점>카페,디저트",1287234507,359592982,128.7234507,35.9592982,
saltbread,daegu,대구 팔공산 소금빵 베이커리,굿테이스트커피 by 커피맛을조금아는남자,대구광역시 동구 팔공산로277길 26 26-1(백안동),대구광역시 동구 백안동 324-4 26-1,,https://www.instagram.com/goodtaste_palgong,"음식점>카페,디저트",1286984802,359606476,128.6986144,35.9607296,
saltbread,daegu,대구 안심 소금빵 카페,로스팅 랩,대구광역시 동구 팔공산로 1173 로스팅랩커피솦,대구광역시 동구 용수동 67-49 로스팅랩커피솦,,,음식점>일식>돈가스,1286930589,359883199,128.6930589,35.9883199,
saltbread,daegu,대구 팔공산 소금빵,티아이티에프,대구광역시 동구 팔공산로 1169,대구광역시 동구 용수동 67-54,,http://instagram.com/titf803,"카페,디저트>베이커리",1286927670,359884992,128.6927623,35.9885051,
saltbread,daegu,대구 팔공산 소금빵,앤지스2,"대구광역시 동구 팔공산로185길 71 (1,2층)","대구광역시 동구 용수동 59-31 1,2층",,https://www.instagram.com/wood.mood.good,"음식점>카페,디저트",1286940966,359887639,128.6940966,35.9887639,
saltbread,daegu,대구 동구 소금빵,초이스엠,대구광역시 동구 팔공산로 260 초이스엠,대구광역시 동구 덕곡동 105-1 초이스엠,,https://youtu.be/Ke70zHMIm10?si=xKqfX6ZEvPMAnf2c,"카페,디저트>베이커리",1286139649,359928842,128.6139396,35.9928722,
saltbread,daegu,대구 팔공산 소금빵 베이커리,카페스톤,대구광역시 군위군 부계면 한티로 1525-6,대구광역시 군위군 부계면 남산리 1138-4,,https://www.instagram.com/cafestone_?igsh=MXJ3M3dvc24xdTR1cg==,"음식점>카페,디저트",1286307242,360298746,128.6307242,36.0298746,
saltbread,daegu,대구 팔달역 소금빵,꿈빵,경기도 수원시 팔달구 덕영대로 935 1층,경기도 수원시 팔달구 매산로1가 57-42 1층,,,"카페,디저트>베이커리",1270018271,372651236,127.001836,37.2651723,
saltbread,daegu,대구 팔달역 소금빵,욤카페 수원직영점,경기도 수원시 팔달구 향교로3번길 21 1층 101호,경기도 수원시 팔달구 매산로1가 14-8 1층 101호,,,"음식점>카페,디저트",1270013015,372685055,127.0011505,37.2684311,
saltbread,daegu,대구 팔달역 소금빵,호우 수원,경기도 수원시 팔달구 덕영대로895번길 20 1층 호우 수원,경기도 수원시 팔달구 매산로1가 12-3 1층 호우 수원,,https://www.instagram.com/hou_suwon,"음식점>카페,디저트",1270005111,372692525,127.0005632,37.2692324,
saltbread,daegu,대구 팔달역 소금빵,일상엔,"경기도 수원시 팔달구 고화로 8 1층, 2층","경기도 수원시 팔달구 매산로3가 128-12 1층, 2층",,https://m.place.naver.com/restaurant/1698866140,"음식점>카페,디저트",1270081915,372703543,127.0081915,37.2703543,
saltbread,daegu,대구 팔달시장 소금빵,더캔트,경기도 수원시 팔달구 행궁로 70 1층,경기도 수원시 팔달구 팔달로3가 118 1층,,https://youtube.com/thecantdessert,"음식점>카페,디저트",1270156552,372764193,127.0156289,37.2764508,
saltbread,daegu,대구 팔달시장 소금빵,팔달제과,경기도 수원시 팔달구 행궁로 39 팔달제과,경기도 수원시 팔달구 남창동 109-1 팔달제과,,https://www.instagram.com/paldaljegwa/,"음식점>카페,디저트",1270152474,372790614,127.0152474,37.2790614,
saltbread,daegu,대구 팔달시장 소금빵,꼼빠도르,경기도 수원시 팔달구 정조로 797-2 다모아빌딩 1층,경기도 수원시 팔달구 팔달로2가 101-1 다모아빌딩 1층,,https://www.instagram.com/compador_bakery,"카페,디저트>베이커리",1270164933,372793443,127.0163533,37.2793281,
saltbread,daegu,대구 팔달시장 소금빵,143카페,경기도 수원시 팔달구 정조로801번길 2 1층,경기도 수원시 팔달구 팔달로1가 73-2 1층,,https://www.instagram.com/143_oneforthee,"음식점>카페,디저트",1270165071,372796185,127.0164483,37.2796357,
saltbread,daegu,대구 팔달시장 소금빵,모난노커피,"경기도 수원시 팔달구 수원천로 303 2층, 나무문","경기도 수원시 팔달구 남수동 131-7 2층, 나무문",,https://www.instagram.com/monannocoffee,"음식점>카페,디저트",1270180095,372804567,127.0180095,37.2804567,
saltbread,daegu,대구 동구청역 소금빵,미스김라일락,인천광역시 남동구 구월로372번길 83-1,인천광역시 남동구 만수동 976-1,,https://www.instagram.com/cafe.misskimlilac,"음식점>카페,디저트",1267317830,374510024,126.731783,37.4510024,
saltbread,daegu,대구 동구청역 소금빵,케익하우스 델리,인천광역시 남동구 구월남로 280 알파프라자,인천광역시 남동구 구월동 1273-9 알파프라자,,,"카페,디저트>베이커리",1267207216,374520581,126.7208138,37.451961,
saltbread,daegu,대구 동구청역 소금빵,레프티,인천광역시 남동구 백범로180번길 90 1층 레프티베이커리,인천광역시 남동구 만수동 73-4 1층 레프티베이커리,,https://www.instagram.com/lefty_bakery,"카페,디저트>베이커리",1267323152,374609515,126.7322613,37.4608924,
saltbread,daegu,대구 동구청역 소금빵,달콤한율작업실,인천광역시 남동구 백범로226번길 34 1층 일부호,인천광역시 남동구 만수동 854-39 1층 일부호,,http://baemin.me/CMQ_hseuB,"음식점>카페,디저트",1267247725,374617959,126.7247821,37.4618295,
saltbread,daegu,대구 동구청역 소금빵,문스톤,인천광역시 남동구 호구포로888번길 9-15 101호,인천광역시 남동구 간석동 919-3 101호,,https://blog.naver.com/moonstone_coffee,"음식점>카페,디저트",1267210337,374622724,126.7210337,37.4622724,
saltbread,daegu,대구 공단역 소금빵,프랑세즈과자점,서울특별시 금천구 남부순환로 1392,서울특별시 금천구 독산동 876-3,,,"음식점>카페,디저트>베이커리",1269054173,374799230,126.9054242,37.4798771,
saltbread,daegu,대구 공단역 소금빵,이설하베이커리카페,서울특별시 관악구 시흥대로 578 1층,서울특별시 관악구 신림동 1643 1층,,https://m.site.naver.com/1WEbk,"카페,디저트>베이커리",1269033564,374843999,126.9032654,37.4843215,
saltbread,daegu,대구 공단역 소금빵,바롤로커피 구로디지털단지 본점,서울특별시 구로구 디지털로 300 지밸리몰 지하1층 바롤로커피,서울특별시 구로구 구로동 188-25 지밸리몰 지하1층 바롤로커피,,https://blog.naver.com/barolocoffee,"음식점>카페,디저트",1268966650,374854160,126.8965381,37.4849271,
saltbread,daegu,대구 공단역 소금빵,초승달빵앗간,서울특별시 동작구 시흥대로 606 판매시설동 129호,서울특별시 동작구 신대방동 686-48 판매시설동 129호,,,"카페,디저트>베이커리",1269047191,374862775,126.9052365,37.4864582,
saltbread,daegu,대구 공단역 소금빵,라 카스카타,서울특별시 동작구 시흥대로 606 협성휴포레시그니처 116호,서울특별시 동작구 신대방동 686-48 협성휴포레시그니처 116호,,,"카페,디저트>베이커리",1269052365,374864582,126.9052365,37.4864582,
saltbread,daegu,대구 화원역 소금빵,브리커피 신용산,서울특별시 용산구 한강대로38길 25,서울특별시 용산구 용산동5가 2-29,,,"음식점>카페,디저트",1269699068,375292052,126.9699068,37.5292052,
saltbread,daegu,대구 화원역 소금빵,브로트아트 용산점,서울특별시 용산구 한강대로 131,서울특별시 용산구 한강로2가 246-1,,https://smartstore.naver.com/brotart,"카페,디저트>베이커리",1269696455,375313915,126.9696455,37.5313915,
saltbread,daegu,대구 화원역 소금빵,도토리 용산점,서울특별시 용산구 한강대로52길 25-6 1층,서울특별시 용산구 한강로1가 227 1층,,https://www.instagram.com/dotori__seoul,"음식점>카페,디저트",1269727984,375319087,126.9727984,37.5319087,
saltbread,daegu,대구 화원역 소금빵,파차마마 베이커리,서울특별시 용산구 한강대로62다길 9 1층,서울특별시 용산구 한강로1가 205-1 1층,,https://www.instagram.com/pachamama.bakery,"카페,디저트>베이커리",1269740897,375332867,126.9741092,37.5333368,
saltbread,daegu,대구 화원역 소금빵,카키문,"서울특별시 용산구 백범로99길 40 102동 106, 107호 카키문","서울특별시 용산구 한강로2가 426 102동 106, 107호 카키문",,https://www.instagram.com/khakimooncoffee,"음식점>카페,디저트",1269713322,375351968,126.9715459,37.5355645,
saltbread,daegu,대구 만평역 소금빵,빵학개론 행신역점,경기도 고양시 덕양구 용현로 3 1층101호,경기도 고양시 덕양구 행신동 766-2 1층101호,,,"카페,디저트>베이커리",1268356470,376130797,126.835647,37.6130797,
saltbread,daegu,대구 만평역 소금빵,아앰브레드행신점,경기도 고양시 덕양구 충경로 48,경기도 고양시 덕양구 행신동 757,,https://www.instagram.com/iambread3894,"카페,디저트>베이커리",1268351207,376153494,126.8349743,37.6152521,
saltbread,daegu,대구 만평역 소금빵,크림커피앤디저트,경기도 고양시 덕양구 무원로36번길 59 1층 크림커피앤디저트,경기도 고양시 덕양구 행신동 720-1 1층 크림커피앤디저트,,http://instagram.com/cream_c.and.d,"음식점>카페,디저트",1268327265,376167467,126.8327265,37.6167467,
saltbread,daegu,대구 만평역 소금빵,펜시 베이커리앤카페,경기도 고양시 덕양구 무원로 50-4 1층,경기도 고양시 덕양구 행신동 726-1 1층,,https://www.instagram.com/fancy_bakerycafe,"카페,디저트>베이커리",1268326644,376171549,126.8326699,37.6171104,
saltbread,daegu,대구 만평역 소금빵,다니당,경기도 고양시 덕양구 용현로 57 1층 다니당,경기도 고양시 덕양구 행신동 743-9 1층 다니당,,https://blog.naver.com/ekdls3833,"음식점>카페,디저트",1268356918,376179660,126.8356481,37.6179712,
saltbread,daegu,대구 동구청 소금빵,조니베이커리,경기도 고양시 일산동구 백마로 195 1층 1148호,경기도 고양시 일산동구 장항동 869 1층 1148호,,https://www.instagram.com/johnny_bakery_?igsh=cnNwdXFyYndodXB5,"카페,디저트>베이커리",1267711069,376546045,126.7717878,37.6548218,
saltbread,daegu,대구 동구청 소금빵,멜팅브레드,경기도 고양시 일산동구 정발산로 24 B-128호,경기도 고양시 일산동구 장항동 868 B-128호,,,"카페,디저트>베이커리",1267731328,376544548,126.7721369,37.6557939,
saltbread,daegu,대구 동구청 소금빵,트리플에이커피 일산MBC점,경기도 고양시 일산동구 정발산로 15 드림월드빌딩 106호,경기도 고양시 일산동구 장항동 863-1 드림월드빌딩 106호,,https://www.instagram.com/triple_a_ilsan/,"음식점>카페,디저트",1267703371,376562411,126.7705699,37.6564196,
saltbread,daegu,대구 동구청 소금빵,폼드팡베이커리 일산점,경기도 고양시 일산동구 정발산로 38 이시턴시티 1층 109호,경기도 고양시 일산동구 장항동 855 이시턴시티 1층 109호,,,"카페,디저트>베이커리",1267730562,376569360,126.7731559,37.6567215,
saltbread,daegu,대구 동구청 소금빵,김민성셰프베이커리,경기도 고양시 일산동구 정발산로 43-20 센트럴프라자1층 김민성셰프베이커리,경기도 고양시 일산동구 장항동 846 센트럴프라자1층 김민성셰프베이커리,,,"카페,디저트>베이커리",1267734506,376586538,126.773416,37.6584064,
